Actual_Value,Predicted_Value
3608.2625,3603.6265
3415.9312,3422.601
3396.7995,3413.8647
3290.2926,3285.1736
3468.9517,3465.4697
3308.286,3301.2605
3537.2983,3536.4126
3436.2225,3433.0256
3319.6426,3319.9133
3343.8313,3335.1223
3270.7929,3323.1594
3532.6751,3543.814
3392.4407,3380.3516
3437.9471,3436.6416
3344.5924,3371.2495
3486.5027,3495.7026
3583.9548,3564.9915
3333.1265,3351.4744
3341.3032,3354.0256
3220.5956,3206.0042
3622.8281,3633.256
3410.4103,3409.934
3427.7884,3395.4883
3525.4562,3539.87
3226.6535,3226.7651
3498.8576,3483.1833
3370.9604,3388.3848
3502.2332,3487.2297
3427.2608,3406.1235
3416.6325,3418.1917
3603.7046,3605.2727
3538.7631,3534.151
3338.7597,3337.8948
3336.7589,3361.7214
3537.2397,3528.0356
3422.9159,3416.9148
3498.6877,3500.918
3286.6098,3288.2383
3650.5551,3632.6104
3427.9075,3434.7515
3408.5741,3408.8735
3417.2031,3443.226
3564.3679,3583.4297
3369.2382,3370.3552
3397.3109,3397.8413
3473.4879,3454.4087
3627.0233,3640.4363
3554.7443,3572.5037
3367.142,3358.0435
3600.7343,3599.4785
3512.3537,3506.602
3493.2203,3486.118
3213.9343,3215.1577
3418.9305,3412.773
3528.3299,3539.5835
3553.8219,3530.4841
3579.5723,3553.9885
3332.5804,3353.2354
3416.578,3418.4578
3545.9594,3556.8052
3406.3731,3423.1687
3621.5821,3593.5496
3328.5273,3357.551
3386.0827,3357.5928
3410.1671,3411.9517
3480.3172,3479.6748
3477.6511,3458.128
3595.2414,3608.041
3238.7171,3239.5781
3332.4702,3334.2102
3490.8903,3508.0034
3409.6138,3404.5198
3379.6968,3376.0247
3408.9594,3436.532
3437.3461,3432.4832
3412.9639,3417.9404
3348.8155,3390.8572
3620.5057,3619.342
3565.6889,3587.0144
3401.2031,3399.6946
3292.7225,3317.5994
3462.7333,3473.3594
3455.6829,3440.6384
3179.5476,3209.9626
3509.0205,3487.2358
3435.9775,3423.1953
3312.908,3309.4058
3373.4221,3371.3374
3371.8652,3383.4722
3447.4236,3431.9343
3664.0905,3671.1587
3379.2701,3405.5593
3588.148,3600.088
3264.4524,3283.446
3365.479,3350.364
3394.0592,3411.8704
3573.2329,3568.8142
3294.7531,3314.8684
3487.3534,3481.6072
3539.0283,3537.6748
3360.5779,3372.8591
3465.5152,3486.03
3486.2795,3496.425
3479.8856,3493.1675
3728.2015,3720.5598
3477.5684,3463.6694
3216.3132,3220.3994
3469.3757,3464.649
3567.5036,3572.291
3478.5126,3478.8145
3564.4138,3566.3782
3404.0351,3406.551
3376.8808,3385.7578
3555.8144,3563.6672
3541.9128,3539.7615
3518.7458,3513.002
3458.1327,3460.8916
3386.6417,3358.0923
3246.2482,3252.1052
3442.8828,3429.8052
3481.618,3471.23
3475.5263,3470.3352
3450.1978,3449.131
3608.2369,3581.4487
3400.2959,3422.8694
3307.498,3342.8674
3459.5901,3461.7341
3760.0794,3771.486
3190.1398,3191.8057
3545.4496,3539.8123
3491.1413,3483.059
3529.1225,3535.5237
3219.8621,3234.6917
3185.3671,3175.4287
3493.0053,3479.1716
3443.3106,3451.2979
3147.5811,3170.2856
3313.7973,3323.3264
3059.1682,3046.449
3493.4192,3500.9858
3420.0772,3412.868
3465.8844,3464.6096
3414.909,3414.737
3527.0338,3552.24
3477.7025,3478.9045
3394.2805,3388.6433
3468.1329,3444.9045
3386.4402,3369.1423
3370.9231,3366.7913
3491.6116,3478.1143
3450.4899,3453.5024
3308.1236,3316.9128
3458.3282,3477.9346
3273.2213,3296.408
3340.5839,3366.1377
3454.309,3424.3628
3380.5779,3353.6855
3295.9698,3292.8135
3519.4477,3550.932
3440.4534,3399.6892
3324.9747,3327.8208
3580.1755,3588.5793
3511.1935,3498.8616
3389.4644,3410.1602
3618.4863,3612.0134
3398.5657,3405.648
3364.9749,3373.0933
3240.5719,3243.733
3397.0492,3413.585
3415.7128,3452.3716
3584.1645,3581.6406
3312.8787,3299.482
3643.3174,3625.1814
3546.2746,3549.5962
3467.6268,3459.5212
3384.3209,3402.1243
3517.317,3543.5452
3389.1507,3386.5876
3528.814,3537.8618
3701.9492,3705.5237
3394.8126,3394.622
3497.9185,3515.642
3576.2604,3598.615
3331.6015,3332.4307
3557.5302,3555.19
3432.7719,3419.4434
3514.8468,3502.8906
3391.5398,3386.2664
3492.1963,3508.559
3444.2429,3443.059
3514.0072,3514.8572
3553.5614,3547.937
3527.3897,3531.9395
3364.3804,3358.7585
3383.1687,3409.0002
3450.6608,3470.0168
3657.3813,3659.5652
3610.7362,3592.9548
3322.498,3314.3433
3623.6958,3626.8413
3607.9421,3607.475
3533.0453,3519.5627
3409.3689,3449.8074
3234.0327,3237.4229
3197.1797,3210.312
3575.3863,3609.224
3256.5118,3275.8677
3618.5852,3610.1445
3500.2746,3485.7986
3452.1136,3433.5188
3414.4178,3414.9585
3277.1748,3271.443
3354.6098,3356.6492
3383.3864,3380.3457
3571.1105,3583.3613
3528.1703,3528.6177
3600.3464,3601.1174
3354.7977,3368.9575
3582.9757,3560.1848
3710.8745,3719.9246
3439.3992,3424.9175
3409.5404,3437.3037
3706.2567,3675.5774
3461.5081,3433.3535
3453.7905,3474.8826
3488.7014,3489.17
3510.9466,3529.0122
3462.8445,3431.8467
3214.9288,3218.7874
3415.3014,3361.4116
3608.956,3609.9285
3253.9204,3258.6602
3504.4704,3497.3262
3409.5255,3401.5913
3443.5763,3470.079
3497.4829,3515.2915
3552.0104,3564.0005
3146.0842,3168.329
3114.3044,3122.4502
3518.655,3525.3804
3639.9454,3634.777
3432.8652,3445.3752
3534.714,3533.9355
3301.0878,3303.8657
3484.4789,3486.1274
3522.0869,3543.4534
3526.7009,3538.15
3507.4054,3499.2852
3166.7901,3188.4988
3210.9535,3214.9941
3479.7164,3500.5806
3531.298,3526.9666
3473.607,3486.2534
3342.8085,3360.8093
3606.4582,3582.8606
3552.9396,3570.3896
3678.0888,3657.7087
3420.9121,3423.4507
3486.0984,3482.9565
3287.559,3304.6296
3336.9052,3338.9678
3386.1188,3398.2505
3443.6295,3440.1636
3511.1664,3522.1843
3444.2482,3436.4421
3498.9663,3493.9539
3473.6652,3452.6196
3478.2971,3463.6995
3467.1448,3471.7917
3300.5213,3305.8691
3314.9462,3289.991
3410.5494,3416.3306
3475.5757,3494.8909
